coin,ticker,event_ticker,rank,favored_side,entry_price,opened_at,result,won,pnl,closed_at
SOL,KXSOLD-26SEP2113-T99.9999,KXSOLD-26SEP2113,7,yes,0.99,2026-09-21T16:39:16.868440+00:00,yes,True,0.01,2026-09-21T20:35:04.019969+00:00
SOL,KXSOLD-26SEP2113-T118.7499,KXSOLD-26SEP2113,8,no,0.96,2026-09-21T16:39:16.868499+00:00,no,True,0.04,2026-09-21T20:35:04.020007+00:00
SOL,KXSOLD-26SEP2113-T118.4999,KXSOLD-26SEP2113,4,no,0.99,2026-09-21T16:39:16.868550+00:00,no,True,0.01,2026-09-21T20:35:04.020046+00:00
SOL,KXSOLD-26SEP2113-T118.2499,KXSOLD-26SEP2113,9,no,0.95,2026-09-21T16:39:16.868598+00:00,no,True,0.05,2026-09-21T20:35:04.020082+00:00
SOL,KXSOLD-26SEP2113-T117.9999,KXSOLD-26SEP2113,6,no,0.94,2026-09-21T16:39:16.868645+00:00,no,True,0.06,2026-09-21T20:35:04.020118+00:00
SOL,KXSOLD-26SEP2113-T117.2499,KXSOLD-26SEP2113,3,no,0.7,2026-09-21T16:39:16.868719+00:00,yes,False,-0.7,2026-09-21T20:35:04.020154+00:00
SOL,KXSOLD-26SEP2117-T115.9999,KXSOLD-26SEP2117,6,no,0.92,2026-09-20T22:44:45.305212+00:00,yes,False,-0.92,2026-09-21T23:33:15.535479+00:00
SOL,KXSOLD-26SEP2117-T114.9999,KXSOLD-26SEP2117,4,no,0.86,2026-09-20T22:44:45.305278+00:00,yes,False,-0.86,2026-09-21T23:33:15.535549+00:00
SOL,KXSOLD-26SEP2117-T113.9999,KXSOLD-26SEP2117,5,no,0.8,2026-09-20T22:44:45.305330+00:00,yes,False,-0.8,2026-09-21T23:33:15.535588+00:00
SOL,KXSOLD-26SEP2117-T112.9999,KXSOLD-26SEP2117,3,no,0.73,2026-09-20T22:44:45.305378+00:00,yes,False,-0.73,2026-09-21T23:33:15.535622+00:00
SOL,KXSOLD-26SEP2117-T105.9999,KXSOLD-26SEP2117,7,yes,0.86,2026-09-20T22:44:45.305461+00:00,yes,True,0.14,2026-09-21T23:33:15.535655+00:00
XRP,KXXRPD-26SEP2117-T1.6799,KXXRPD-26SEP2117,10,no,0.98,2026-09-20T22:44:45.541361+00:00,no,True,0.02,2026-09-21T23:33:15.535686+00:00
XRP,KXXRPD-26SEP2117-T1.4999,KXXRPD-26SEP2117,8,no,0.93,2026-09-20T22:44:45.541423+00:00,yes,False,-0.93,2026-09-21T23:33:15.535719+00:00
XRP,KXXRPD-26SEP2117-T1.3399,KXXRPD-26SEP2117,9,yes,0.89,2026-09-20T22:44:45.541474+00:00,yes,True,0.1099999999999999,2026-09-21T23:33:15.535750+00:00
SOL,KXSOLD-26SEP2117-T116.9999,KXSOLD-26SEP2117,4,no,0.81,2026-09-21T00:31:30.816595+00:00,yes,False,-0.81,2026-09-21T23:33:15.535806+00:00
SOL,KXSOLD-26SEP2117-T110.9999,KXSOLD-26SEP2117,9,yes,0.62,2026-09-21T00:31:30.816785+00:00,yes,True,0.38,2026-09-21T23:33:15.535837+00:00
SOL,KXSOLD-26SEP2117-T104.9999,KXSOLD-26SEP2117,5,yes,0.94,2026-09-21T00:31:30.816835+00:00,yes,True,0.06,2026-09-21T23:33:15.535867+00:00
XRP,KXXRPD-26SEP2117-T1.4599,KXXRPD-26SEP2117,13,no,0.75,2026-09-21T00:31:30.938210+00:00,yes,False,-0.75,2026-09-21T23:33:15.535898+00:00
XRP,KXXRPD-26SEP2117-T1.3599,KXXRPD-26SEP2117,11,yes,0.91,2026-09-21T00:31:30.938302+00:00,yes,True,0.0899999999999999,2026-09-21T23:33:15.535926+00:00
XRP,KXXRPD-26SEP2117-T1.3199,KXXRPD-26SEP2117,8,yes,0.94,2026-09-21T00:31:30.938390+00:00,yes,True,0.06,2026-09-21T23:33:15.535954+00:00
HYPE,KXHYPED-26SEP2117-T98.9999,KXHYPED-26SEP2117,5,no,0.94,2026-09-21T05:21:42.179504+00:00,no,True,0.06,2026-09-21T23:33:15.535982+00:00
SOL,KXSOLD-26SEP2117-T121.9999,KXSOLD-26SEP2117,6,no,0.96,2026-09-21T05:21:42.249231+00:00,no,True,0.04,2026-09-21T23:33:15.536010+00:00
SOL,KXSOLD-26SEP2117-T117.9999,KXSOLD-26SEP2117,7,no,0.95,2026-09-21T05:21:42.249248+00:00,yes,False,-0.95,2026-09-21T23:33:15.536037+00:00
SOL,KXSOLD-26SEP2117-T101.9999,KXSOLD-26SEP2117,5,yes,0.97,2026-09-21T05:21:42.249307+00:00,yes,True,0.03,2026-09-21T23:33:15.536064+00:00
XRP,KXXRPD-26SEP2117-T1.3999,KXXRPD-26SEP2117,11,yes,0.67,2026-09-21T05:21:42.429277+00:00,yes,True,0.3299999999999999,2026-09-21T23:33:15.536097+00:00
HYPE,KXHYPED-26SEP2117-T90.9999,KXHYPED-26SEP2117,6,yes,0.96,2026-09-21T10:51:37.015145+00:00,yes,True,0.04,2026-09-21T23:33:15.536125+00:00
HYPE,KXHYPED-26SEP2117-T89.9999,KXHYPED-26SEP2117,8,yes,0.96,2026-09-21T10:51:37.015183+00:00,yes,True,0.04,2026-09-21T23:33:15.536153+00:00
HYPE,KXHYPED-26SEP2117-T88.9999,KXHYPED-26SEP2117,9,yes,0.97,2026-09-21T10:51:37.015216+00:00,yes,True,0.03,2026-09-21T23:33:15.536181+00:00
SOL,KXSOLD-26SEP2117-T120.9999,KXSOLD-26SEP2117,6,no,0.91,2026-09-21T10:51:37.072343+00:00,no,True,0.0899999999999999,2026-09-21T23:33:15.536208+00:00
SOL,KXSOLD-26SEP2117-T111.9999,KXSOLD-26SEP2117,3,yes,0.86,2026-09-21T10:51:37.072431+00:00,yes,True,0.14,2026-09-21T23:33:15.536235+00:00
XRP,KXXRPD-26SEP2117-T1.4399,KXXRPD-26SEP2117,8,yes,0.82,2026-09-21T10:51:37.184035+00:00,yes,True,0.18,2026-09-21T23:33:15.536307+00:00
XRP,KXXRPD-26SEP2117-T1.4199,KXXRPD-26SEP2117,12,yes,0.91,2026-09-21T10:51:37.184086+00:00,yes,True,0.0899999999999999,2026-09-21T23:33:15.536336+00:00
XRP,KXXRPD-26SEP2117-T1.3799,KXXRPD-26SEP2117,9,yes,0.96,2026-09-21T10:51:37.184125+00:00,yes,True,0.04,2026-09-21T23:33:15.536365+00:00
