coin,ticker,event_ticker,rank,favored_side,entry_price,opened_at
SOL,KXSOLD-26SEP2517-T98.9999,KXSOLD-26SEP2517,9,yes,0.91,2026-09-19T23:33:34.392738+00:00
XRP,KXXRPD-26SEP2517-T1.4399,KXXRPD-26SEP2517,10,no,0.6,2026-09-20T01:33:16.588929+00:00
XRP,KXXRPD-26SEP2517-T1.3199,KXXRPD-26SEP2517,10,yes,0.68,2026-09-20T06:54:29.181324+00:00
XRP,KXXRPD-26SEP2517-T1.4999,KXXRPD-26SEP2517,9,no,0.77,2026-09-20T18:13:18.850209+00:00
XRP,KXXRPD-26SEP2517-T1.5999,KXXRPD-26SEP2517,8,no,0.89,2026-09-20T22:44:45.541521+00:00
SOL,KXSOLD-26SEP2517-T122.9999,KXSOLD-26SEP2517,7,no,0.75,2026-09-21T10:51:37.072544+00:00
SOL,KXSOLD-26SEP2517-T109.9999,KXSOLD-26SEP2517,5,yes,0.72,2026-09-21T10:51:37.072613+00:00
XRP,KXXRPD-26SEP2517-T1.7199,KXXRPD-26SEP2517,11,no,0.89,2026-09-21T10:51:37.184223+00:00
XRP,KXXRPD-26SEP2517-T1.4199,KXXRPD-26SEP2517,8,yes,0.68,2026-09-21T10:51:37.184273+00:00
XRP,KXXRPD-26SEP2517-T1.3799,KXXRPD-26SEP2517,9,yes,0.79,2026-09-21T10:51:37.184304+00:00
XRP,KXXRPD-26SEP2517-T1.2999,KXXRPD-26SEP2517,10,yes,0.92,2026-09-21T10:51:37.184393+00:00
